Ticker,Company,Current Price,Start Price,Change $,Change %
NVDA,NVIDIA Corporation,$210.43,$199.64,$10.79,5.40%
GOOGL,Alphabet Inc.,$351.71,$338.89,$12.82,3.78%
MSFT,Microsoft Corporation,$424.43,$415.75,$8.68,2.09%
TSLA,"Tesla, Inc.",$371.19,$373.72,$-2.53,-0.68%
AAPL,Apple Inc.,$269.18,$273.43,$-4.25,-1.55%
